stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,platform_code,parent_station,level_id,zone_id
9768,9768,75th St E & Craig Way,Nearside E,44.840745,-93.027397,https://www.metrotransit.org/nextrip/9768,0,1,,,,
9769,9769,75th St E & Dawn Ave,Nearside E,44.840743,-93.024779,https://www.metrotransit.org/nextrip/9769,0,1,,,,
9773,9773,70th St E & Crosby Ave E,Nearside W,44.848146,-93.025581,https://www.metrotransit.org/nextrip/9773,0,1,,,,
9775,9775,70th St E & Cooper Ave E,Across From W,44.848142,-93.028523,https://www.metrotransit.org/nextrip/9775,0,1,,,,
9776,9776,70th St E & Cloman Ave E,Nearside W,44.848158,-93.031969,https://www.metrotransit.org/nextrip/9776,0,1,,,,
9778,9778,70th St E & Clayton Ave,Nearside W,44.848160,-93.034508,https://www.metrotransit.org/nextrip/9778,0,1,,,,
9779,9779,Clayton Ave & 69th St E,Nearside N,44.849721,-93.034633,https://www.metrotransit.org/nextrip/9779,0,1,,,,
9780,9780,Clayton Ave & 68th St E,Nearside N,44.851111,-93.034663,https://www.metrotransit.org/nextrip/9780,0,1,,,,
9781,9781,Clayton Ave & 67th St E,Nearside N,44.851682,-93.034668,https://www.metrotransit.org/nextrip/9781,0,1,,,,
9782,9782,67th St E & Catherine Ave,Nearside W,44.851823,-93.036644,https://www.metrotransit.org/nextrip/9782,0,2,,,,
9783,9783,Carmen Ave & Hilltop Elementary School,Across From W,44.853511,-93.040905,https://www.metrotransit.org/nextrip/9783,0,1,,,,
9784,9784,Carmen Ave & Village Square Center,Across From W,44.853730,-93.042149,https://www.metrotransit.org/nextrip/9784,0,1,,,,
9785,9785,Carmen Ave & 65th St E,Nearside N,44.855082,-93.042351,https://www.metrotransit.org/nextrip/9785,0,2,,,,
9786,9786,Carmen Ave & Claude Way E,Nearside N,44.857325,-93.040782,https://www.metrotransit.org/nextrip/9786,0,2,,,,
9787,9787,Carmen Ave & Candace Ave,Across From N,44.861016,-93.040246,https://www.metrotransit.org/nextrip/9787,0,2,,,,
9788,9788,Carmen Ave & #6115,Across From N,44.860168,-93.041092,https://www.metrotransit.org/nextrip/9788,0,2,,,,
9790,9790,Carmen Ave E (5th Ave S) & South St W,Nearside N,44.865355,-93.039889,https://www.metrotransit.org/nextrip/9790,0,1,,,,
9791,9791,South St & 5th Ave S,Nearside W,44.865531,-93.039559,https://www.metrotransit.org/nextrip/9791,0,2,,,,
9806,9806,5th Ave S & Poplar St W,Nearside N,44.867060,-93.039875,https://www.metrotransit.org/nextrip/9806,0,2,,,,
9808,9808,5th Ave S & Spruce St W,Nearside N,44.868920,-93.039862,https://www.metrotransit.org/nextrip/9808,0,1,,,,
9810,9810,5th Ave S & Dale St W,Nearside N,44.870752,-93.039844,https://www.metrotransit.org/nextrip/9810,0,1,,,,
9812,9812,5th Ave S & Richmond St,Nearside N,44.872593,-93.039839,https://www.metrotransit.org/nextrip/9812,0,1,,,,
9815,9815,5th Ave S & 9th St S,Nearside N,44.876197,-93.039824,https://www.metrotransit.org/nextrip/9815,0,1,,,,
9816,9816,5th Ave S & 8th St S,Nearside N,44.877989,-93.039838,https://www.metrotransit.org/nextrip/9816,0,1,,,,
9817,9817,5th Ave S & 7th St S,Nearside N,44.879800,-93.039851,https://www.metrotransit.org/nextrip/9817,0,1,,,,
9818,9818,5th Ave S & 6th St S,Nearside N,44.881536,-93.039716,https://www.metrotransit.org/nextrip/9818,0,1,,,,
9819,9819,5th Ave S & 5th St S,Nearside N,44.883337,-93.039717,https://www.metrotransit.org/nextrip/9819,0,1,,,,
9820,9820,5th Ave S & 4th St S,Nearside N,44.885173,-93.039751,https://www.metrotransit.org/nextrip/9820,0,1,,,,
9821,9821,5th Ave S & 3rd St S,Nearside N,44.886983,-93.039820,https://www.metrotransit.org/nextrip/9821,0,1,,,,
9822,9822,5th Ave S & Southview Blvd,Nearside N,44.888702,-93.039791,https://www.metrotransit.org/nextrip/9822,0,1,,,,
9823,9823,5th Ave N & Marie Ave,Nearside N,44.890556,-93.039795,https://www.metrotransit.org/nextrip/9823,0,1,,,,
9825,9825,5th Ave N & 3rd St N,Nearside N,44.893586,-93.039535,https://www.metrotransit.org/nextrip/9825,0,1,,,,
9826,9826,3rd St N & 4th Ave N,Nearside E,44.893679,-93.038536,https://www.metrotransit.org/nextrip/9826,0,1,,,,
9827,9827,3rd Ave N & 2nd St,Farside S,44.891914,-93.037250,https://www.metrotransit.org/nextrip/9827,0,1,,,,
9828,9828,Marie Ave & 2nd Ave S,Nearside E,44.890624,-93.036190,https://www.metrotransit.org/nextrip/9828,0,1,,,,
9829,9829,2nd Ave S & Southview Blvd,Nearside S,44.888985,-93.036132,https://www.metrotransit.org/nextrip/9829,0,1,,,,
9830,9830,Southview Blvd & 3rd Ave S,Nearside W,44.888912,-93.037177,https://www.metrotransit.org/nextrip/9830,0,1,,,,
9832,9832,Southview Blvd & 5th Ave S,Nearside W,44.888910,-93.039725,https://www.metrotransit.org/nextrip/9832,0,1,,,,
9834,9834,Southview Blvd & 7th Ave S,Nearside W,44.888897,-93.042266,https://www.metrotransit.org/nextrip/9834,0,1,,,,
9839,9839,Southview Blvd & 12th Ave S,Nearside W,44.889001,-93.048581,https://www.metrotransit.org/nextrip/9839,0,1,,,,
9840,9840,12th Ave N & Marie Ave,Nearside N,44.890644,-93.048680,https://www.metrotransit.org/nextrip/9840,0,1,,,,
9841,9841,12th Ave N & 2nd St N,Nearside N,44.892453,-93.048696,https://www.metrotransit.org/nextrip/9841,0,1,,,,
9842,9842,12th Ave N & 3rd St N,Nearside N,44.894218,-93.048678,https://www.metrotransit.org/nextrip/9842,0,1,,,,
9843,9843,12th Ave N & 4th St N,Nearside N,44.895999,-93.048676,https://www.metrotransit.org/nextrip/9843,0,1,,,,
9844,9844,12th Ave N & Dwane St,Nearside N,44.898278,-93.048721,https://www.metrotransit.org/nextrip/9844,0,1,,,,
9845,9845,12th Ave N & Congress St,Nearside N,44.899516,-93.048728,https://www.metrotransit.org/nextrip/9845,0,1,,,,
9846,9846,12th Ave N & Thompson Ave,Nearside N,44.901420,-93.048727,https://www.metrotransit.org/nextrip/9846,0,1,,,,
9847,9847,Thompson Ave & 13th Ave N,Nearside W,44.901581,-93.049818,https://www.metrotransit.org/nextrip/9847,0,1,,,,
9849,9849,Thompson Ave & 15th Ave N,Nearside W,44.901583,-93.052424,https://www.metrotransit.org/nextrip/9849,0,1,,,,
9850,9850,Thompson Ave & 20th Ave N,Nearside W,44.901584,-93.058795,https://www.metrotransit.org/nextrip/9850,0,1,,,,
9852,9852,Thompson Ave & 22nd Ave N,Nearside W,44.901589,-93.061336,https://www.metrotransit.org/nextrip/9852,0,1,,,,
9854,9854,Thompson Ave & 23rd Ave N,Nearside W,44.901589,-93.062624,https://www.metrotransit.org/nextrip/9854,0,1,,,,
9855,9855,Thompson Ave & Christensen Ave,Across From W,44.901597,-93.068135,https://www.metrotransit.org/nextrip/9855,0,1,,,,
9859,9859,Robert St S & Thompson Ave E,Farside N,44.901899,-93.080516,https://www.metrotransit.org/nextrip/9859,0,1,,,,
9862,9862,Southview Blvd & 15th Ave S,Nearside W,44.889021,-93.052429,https://www.metrotransit.org/nextrip/9862,0,1,,,,
9864,9864,Southview Blvd & 17th Ave S,Nearside W,44.889026,-93.054985,https://www.metrotransit.org/nextrip/9864,0,1,,,,
9866,9866,Southview Blvd & 19th Ave S,Nearside W,44.889026,-93.057525,https://www.metrotransit.org/nextrip/9866,0,1,,,,
9870,9870,Mendota Rd & Christensen Ave,Farside W,44.884137,-93.067815,https://www.metrotransit.org/nextrip/9870,0,1,,,,
9871,9871,Mendota Rd & Oakdale Ave,Nearside W,44.883656,-93.069809,https://www.metrotransit.org/nextrip/9871,0,1,,,,
9872,9872,Oakdale Ave & Southview Acres,Nearside N,44.885570,-93.070286,https://www.metrotransit.org/nextrip/9872,0,2,,,,
9874,9874,Oakdale Ave & Oakdale Terrace,Nearside N,44.887481,-93.070305,https://www.metrotransit.org/nextrip/9874,0,2,,,,
9875,9875,Oakdale Ave & Westview Dr,Nearside N,44.888813,-93.070307,https://www.metrotransit.org/nextrip/9875,0,1,,,,
9876,9876,Marie Ave & Oakdale Ave,Farside W,44.890464,-93.070779,https://www.metrotransit.org/nextrip/9876,0,1,,,,
9877,9877,Marie Ave & Kathleen Dr,Across From W,44.890766,-93.073105,https://www.metrotransit.org/nextrip/9877,0,2,,,,
9878,9878,Marie Ave & #245,Nearside W,44.892067,-93.074996,https://www.metrotransit.org/nextrip/9878,0,2,,,,
9881,9881,Robert St S & Butler Ave,Nearside N,44.912186,-93.080497,https://www.metrotransit.org/nextrip/9881,0,1,,,,
9883,9883,Robert St S & Arion St,Nearside N,44.914056,-93.080512,https://www.metrotransit.org/nextrip/9883,0,1,,,,
9884,9884,Robert St S & Bernard St,Nearside N,44.915849,-93.080532,https://www.metrotransit.org/nextrip/9884,0,1,,,,
9885,9885,Robert St S & Haskell St,Nearside N,44.917759,-93.080558,https://www.metrotransit.org/nextrip/9885,0,1,,,,
9886,9886,Robert St S & Annapolis St,Farside N,44.919969,-93.080606,https://www.metrotransit.org/nextrip/9886,0,1,,,,
9888,9888,Robert St S & Winona St,Nearside N,44.921208,-93.080595,https://www.metrotransit.org/nextrip/9888,0,1,,,,
