1179632,52177,2026-08-14 08:33:00.011545,2026-08-14 08:35:35
1181760,52177,2026-08-14 08:46:00.211322,2026-08-14 08:47:33
1186690,52177,2026-08-14 08:58:00.197798,2026-08-14 08:58:00
1183375,52177,2026-08-14 09:10:00.020296,2026-08-14 09:10:00
1182960,52177,2026-08-14 09:22:00.346227,2026-08-14 09:22:00
1181299,52177,2026-08-14 09:34:00.342373,2026-08-14 09:34:00
1181926,52177,2026-08-14 09:46:00.343534,2026-08-14 09:46:00
1182781,52177,2026-08-14 09:58:00.213586,2026-08-14 09:58:00
1183550,52177,2026-08-14 10:10:00.207757,2026-08-14 10:10:00
1178646,52177,2026-08-14 10:22:00.005015,2026-08-14 10:22:00
1187236,52177,2026-08-14 10:34:00.993767,2026-08-14 10:34:00
1181408,52177,2026-08-14 10:46:00.342689,2026-08-14 10:46:00
1182499,52177,2026-08-14 10:58:00.345259,2026-08-14 10:58:00
1177802,52177,2026-08-14 11:10:00.216652,2026-08-14 11:10:00
1184030,52177,2026-08-14 11:22:00.348134,2026-08-14 11:22:00
1182835,52177,2026-08-14 11:32:00.345956,2026-08-14 11:32:00
1181263,52177,2026-08-14 11:42:00.342213,2026-08-14 11:42:00
1181132,52177,2026-08-14 11:52:00.108787,2026-08-14 11:52:00
1183225,52177,2026-08-14 12:02:00.019979,2026-08-14 12:02:00
1188110,52177,2026-08-14 12:12:00.325037,2026-08-14 12:12:00
1178346,52177,2026-08-14 12:22:00.335520,2026-08-14 12:22:00
1178053,52177,2026-08-14 12:32:00.217200,2026-08-14 12:32:00
1185905,52177,2026-08-14 12:42:00.195649,2026-08-14 12:42:00
1178473,52177,2026-08-14 12:52:00.335937,2026-08-14 12:52:00
1182007,6206,2026-08-14 08:40:00.111930,2026-08-14 08:41:29
1187507,6206,2026-08-14 08:52:00.088771,2026-08-14 08:52:00
1186456,6206,2026-08-14 09:04:00.196968,2026-08-14 09:04:00
1180320,6206,2026-08-14 09:16:00.339670,2026-08-14 09:16:00
1184678,6206,2026-08-14 09:28:00.023419,2026-08-14 09:28:00
1177674,6206,2026-08-14 09:40:00.001703,2026-08-14 09:40:00
1179737,6206,2026-08-14 09:52:00.104955,2026-08-14 09:52:00
1182293,6206,2026-08-14 10:04:00.112853,2026-08-14 10:04:00
1186833,6206,2026-08-14 10:16:00.027417,2026-08-14 10:16:00
1180842,6206,2026-08-14 10:28:00.224117,2026-08-14 10:28:00
1183396,6206,2026-08-14 10:38:00.347111,2026-08-14 10:38:00
1180267,6206,2026-08-14 10:48:00.012889,2026-08-14 10:48:00
1183742,6206,2026-08-14 10:58:00.021269,2026-08-14 10:58:00
1181162,6206,2026-08-14 11:08:00.108914,2026-08-14 11:08:00
1186029,6206,2026-08-14 11:18:00.320687,2026-08-14 11:18:00
1181273,6206,2026-08-14 11:28:00.109785,2026-08-14 11:28:00
1178157,6206,2026-08-14 11:38:00.335134,2026-08-14 11:38:00
1178900,6206,2026-08-14 11:48:00.337244,2026-08-14 11:48:00
1187974,53099,2026-08-14 08:23:00.324552,2026-08-14 08:31:56
1178942,53099,2026-08-14 08:35:00.102902,2026-08-14 08:34:24
1184370,53099,2026-08-14 08:47:00.209568,2026-08-14 08:49:31
1182007,53099,2026-08-14 08:59:00.111945,2026-08-14 08:59:00
1187507,53099,2026-08-14 09:11:00.088786,2026-08-14 09:11:00
1186456,53099,2026-08-14 09:23:00.196986,2026-08-14 09:23:00
1180320,53099,2026-08-14 09:35:00.339686,2026-08-14 09:35:00
1184678,53099,2026-08-14 09:47:00.023434,2026-08-14 09:47:00
1177674,53099,2026-08-14 09:59:00.001718,2026-08-14 09:59:00
1179737,53099,2026-08-14 10:11:00.104970,2026-08-14 10:11:00
1182293,53099,2026-08-14 10:23:00.112867,2026-08-14 10:23:00
1186833,53099,2026-08-14 10:35:00.027432,2026-08-14 10:35:00
1187974,12281,2026-08-14 08:32:00.324559,2026-08-14 08:41:50
1178942,12281,2026-08-14 08:44:00.102909,2026-08-14 08:44:31
1184370,12281,2026-08-14 08:56:00.209576,2026-08-14 08:56:00
1182007,12281,2026-08-14 09:08:00.111952,2026-08-14 09:08:00
1187507,12281,2026-08-14 09:19:00.088793,2026-08-14 09:19:00
1186456,12281,2026-08-14 09:31:00.196996,2026-08-14 09:31:00
1180320,12281,2026-08-14 09:43:00.339693,2026-08-14 09:43:00
1184678,12281,2026-08-14 09:55:00.023441,2026-08-14 09:55:00
1177674,12281,2026-08-14 10:07:00.001725,2026-08-14 10:07:00
1179737,12281,2026-08-14 10:19:00.104977,2026-08-14 10:19:00
1182293,12281,2026-08-14 10:31:00.112875,2026-08-14 10:31:00
1186833,12281,2026-08-14 10:43:00.027439,2026-08-14 10:43:00
1180842,12281,2026-08-14 10:55:00.224139,2026-08-14 10:55:00
1183396,12281,2026-08-14 11:05:00.347139,2026-08-14 11:05:00
1180267,12281,2026-08-14 11:15:00.012911,2026-08-14 11:15:00
1183742,12281,2026-08-14 11:25:00.021292,2026-08-14 11:25:00
1181162,12281,2026-08-14 11:35:00.108937,2026-08-14 11:35:00
1186029,12281,2026-08-14 11:45:00.320710,2026-08-14 11:45:00
1181273,12281,2026-08-14 11:55:00.109807,2026-08-14 11:55:00
1178157,12281,2026-08-14 12:05:00.335159,2026-08-14 12:05:00
1178900,12281,2026-08-14 12:15:00.337267,2026-08-14 12:15:00
1184786,12281,2026-08-14 12:25:00.207339,2026-08-14 12:25:00
1180831,12281,2026-08-14 12:35:00.340922,2026-08-14 12:35:00
1185140,12281,2026-08-14 12:45:00.119372,2026-08-14 12:45:00
1197026,12281,2026-08-14 12:55:00.085684,2026-08-14 12:55:00
1187974,16137,2026-08-14 08:37:00.324564,2026-08-14 08:47:39
1178942,16137,2026-08-14 08:49:00.102913,2026-08-14 08:50:37
1184370,16137,2026-08-14 09:01:00.209580,2026-08-14 09:01:00
1182007,16137,2026-08-14 09:13:00.111957,2026-08-14 09:13:00
1187507,16137,2026-08-14 09:24:00.088797,2026-08-14 09:24:00
1186456,16137,2026-08-14 09:36:00.197001,2026-08-14 09:36:00
1180320,16137,2026-08-14 09:48:00.339699,2026-08-14 09:48:00
1184678,16137,2026-08-14 10:00:00.023446,2026-08-14 10:00:00
1183375,16112,2026-08-14 08:28:00.020263,2026-08-14 08:30:34
1182960,16112,2026-08-14 08:41:00.346190,2026-08-14 08:40:12
1181299,16112,2026-08-14 08:53:00.342338,2026-08-14 08:53:00
1181926,16112,2026-08-14 09:05:00.343499,2026-08-14 09:05:00
1182781,16112,2026-08-14 09:17:00.213551,2026-08-14 09:17:00
1183550,16112,2026-08-14 09:30:00.207720,2026-08-14 09:30:00
1178646,16112,2026-08-14 09:42:00.004981,2026-08-14 09:42:00
1187236,16112,2026-08-14 09:54:00.993733,2026-08-14 09:54:00
1181408,16112,2026-08-14 10:06:00.342653,2026-08-14 10:06:00
1182499,16112,2026-08-14 10:18:00.345223,2026-08-14 10:18:00
1177802,16112,2026-08-14 10:30:00.216618,2026-08-14 10:30:00
1184030,16112,2026-08-14 10:42:00.348098,2026-08-14 10:42:00
1183375,16124,2026-08-14 08:34:00.020267,2026-08-14 08:35:34
1182960,16124,2026-08-14 08:47:00.346195,2026-08-14 08:45:44
1181299,16124,2026-08-14 08:59:00.342343,2026-08-14 08:59:00
1181926,16124,2026-08-14 09:11:00.343504,2026-08-14 09:11:00
